iter	Passed	Remaining
0	157	157603
1	160	80225
2	164	54828
3	167	41796
4	170	33953
5	173	28708
6	179	25413
7	181	22544
8	184	20358
9	187	18567
10	194	17481
11	197	16238
12	200	15242
13	204	14377
14	208	13683
15	211	13012
16	214	12385
17	218	11930
18	221	11458
19	224	10989
20	226	10547
21	228	10172
22	230	9802
23	234	9526
24	236	9219
25	238	8944
26	240	8675
27	242	8420
28	244	8184
29	246	7975
30	250	7816
31	252	7628
32	254	7449
33	256	7286
34	258	7136
35	261	7008
36	264	6892
37	267	6777
38	270	6657
39	272	6529
40	274	6411
41	277	6337
42	280	6238
43	282	6132
44	284	6030
45	286	5934
46	290	5893
47	292	5811
48	295	5730
49	300	5708
50	307	5720
51	309	5644
52	311	5573
53	314	5507
54	318	5467
55	320	5403
56	323	5345
57	325	5287
58	332	5299
59	334	5242
60	336	5180
61	338	5124
62	340	5069
63	343	5020
64	348	5011
65	350	4966
66	353	4918
67	355	4878
68	358	4839
69	363	4832
70	365	4787
71	368	4749
72	370	4705
73	372	4666
74	375	4631
75	379	4609
76	381	4570
77	383	4534
78	385	4493
79	387	4454
80	389	4415
81	393	4407
82	395	4364
83	397	4330
84	399	4302
85	402	4279
86	407	4276
87	409	4246
88	412	4221
89	415	4201
90	420	4199
91	424	4187
92	426	4161
93	429	4135
94	431	4111
95	436	4115
96	439	4091
97	441	4066
98	443	4038
99	446	4014
100	448	3996
101	453	3990
102	455	3966
103	457	3945
104	460	3921
105	462	3901
106	468	3906
107	471	3890
108	473	3870
109	476	3852
110	478	3833
111	482	3828
112	485	3808
113	487	3789
114	489	3769
115	492	3751
116	493	3726
117	497	3717
118	500	3702
119	502	3685
120	505	3669
121	507	3650
122	509	3635
123	513	3630
124	515	3611
125	518	3594
126	519	3573
127	522	3556
128	526	3556
129	529	3540
130	531	3524
131	533	3506
132	535	3489
133	537	3471
134	539	3455
135	542	3447
136	544	3431
137	547	3417
138	549	3401
139	551	3386
140	553	3369
141	555	3355
142	557	3343
143	560	3329
144	562	3315
145	564	3300
146	566	3285
147	568	3273
148	571	3265
149	574	3255
150	576	3242
151	578	3228
152	580	3213
153	582	3199
154	585	3193
155	588	3183
156	590	3171
157	592	3158
158	594	3145
159	596	3132
160	598	3118
161	600	3108
162	603	3097
163	605	3084
164	607	3072
165	609	3061
166	611	3050
167	613	3038
168	616	3033
169	619	3022
170	621	3011
171	623	2999
172	625	2988
173	627	2976
174	629	2969
175	632	2959
176	634	2949
177	636	2938
178	638	2928
179	640	2917
180	642	2906
181	645	2899
182	647	2889
183	649	2878
184	651	2868
185	652	2857
186	654	2846
187	656	2836
188	662	2841
189	664	2833
190	666	2823
191	668	2815
192	671	2805
193	673	2799
194	676	2791
195	678	2784
196	681	2777
197	683	2768
198	685	2759
199	688	2752
200	690	2744
201	692	2736
202	695	2729
203	697	2719
204	698	2710
205	700	2700
206	703	2695
207	706	2688
208	709	2685
209	711	2676
210	715	2677
211	719	2674
212	722	2671
213	731	2687
214	735	2685
215	738	2681
216	741	2676
217	744	2670
218	747	2665
219	752	2668
220	755	2664
221	758	2657
222	760	2650
223	765	2651
224	769	2648
225	771	2641
226	773	2634
227	775	2626
228	783	2638
229	786	2633
230	789	2627
231	792	2622
232	796	2622
233	798	2613
234	800	2605
235	802	2598
236	805	2591
237	806	2583
238	809	2578
239	811	2571
240	814	2564
241	816	2558
242	818	2550
243	820	2543
244	823	2537
245	826	2533
246	828	2525
247	830	2517
248	832	2509
249	833	2501
250	835	2493
251	837	2487
252	840	2483
253	842	2475
254	845	2468
255	847	2462
256	850	2460
257	856	2463
258	860	2461
259	862	2455
260	865	2449
261	867	2444
262	870	2440
263	875	2439
264	878	2435
265	884	2441
266	887	2437
267	891	2433
268	893	2428
269	900	2434
270	902	2428
271	905	2422
272	907	2417
273	909	2410
274	915	2413
275	917	2407
276	919	2400
277	921	2394
278	923	2387
279	925	2380
280	929	2379
281	931	2372
282	933	2365
283	935	2359
284	937	2352
285	940	2348
286	945	2349
287	948	2344
288	951	2340
289	953	2334
290	956	2330
291	959	2326
292	961	2320
293	964	2315
294	966	2309
295	968	2302
296	972	2303
297	975	2298
298	977	2292
299	980	2287
300	982	2281
301	984	2274
302	988	2272
303	990	2267
304	992	2261
305	994	2255
306	996	2249
307	998	2242
308	1002	2241
309	1005	2237
310	1007	2231
311	1009	2225
312	1011	2220
313	1013	2214
314	1017	2211
315	1019	2207
316	1021	2201
317	1023	2195
318	1025	2189
319	1027	2184
320	1031	2181
321	1033	2176
322	1035	2170
323	1037	2164
324	1040	2161
325	1042	2155
326	1046	2154
327	1049	2149
328	1051	2143
329	1052	2137
330	1055	2132
331	1057	2126
332	1058	2120
333	1061	2117
334	1064	2112
335	1065	2106
336	1067	2100
337	1069	2095
338	1071	2089
339	1074	2085
340	1076	2080
341	1078	2075
342	1080	2070
343	1082	2065
344	1084	2059
345	1086	2054
346	1090	2052
347	1092	2047
348	1094	2042
349	1097	2037
350	1099	2032
351	1101	2027
352	1104	2024
353	1106	2019
354	1108	2014
355	1110	2008
356	1113	2004
357	1115	1999
358	1117	1995
359	1121	1994
360	1123	1989
361	1125	1983
362	1127	1978
363	1129	1973
364	1131	1968
365	1135	1967
366	1138	1963
367	1140	1957
368	1141	1952
369	1144	1947
370	1146	1943
371	1149	1940
372	1152	1937
373	1155	1933
374	1157	1928
375	1159	1923
376	1161	1918
377	1164	1916
378	1167	1912
379	1169	1907
380	1170	1902
381	1173	1897
382	1174	1892
383	1176	1887
384	1180	1886
385	1183	1881
386	1185	1877
387	1188	1875
388	1191	1871
389	1199	1875
390	1201	1872
391	1205	1869
392	1212	1872
393	1214	1868
394	1218	1866
395	1221	1862
396	1227	1864
397	1230	1860
398	1232	1856
399	1235	1853
400	1238	1850
401	1246	1854
402	1249	1851
403	1252	1847
404	1258	1848
405	1261	1845
406	1264	1842
407	1267	1838
408	1273	1840
409	1276	1837
410	1279	1834
411	1282	1830
412	1284	1826
413	1288	1823
414	1290	1819
415	1292	1814
416	1294	1810
417	1296	1805
418	1306	1812
419	1309	1808
420	1312	1804
421	1314	1800
422	1320	1800
423	1322	1796
424	1324	1791
425	1328	1789
426	1329	1784
427	1332	1781
428	1335	1777
429	1337	1773
430	1340	1770
431	1343	1766
432	1345	1761
433	1350	1760
434	1352	1756
435	1353	1751
436	1356	1747
437	1358	1743
438	1360	1738
439	1363	1735
440	1365	1731
441	1367	1726
442	1369	1722
443	1372	1718
444	1374	1713
445	1379	1713
446	1382	1710
447	1385	1706
448	1387	1702
449	1389	1698
450	1392	1694
451	1394	1691
452	1402	1693
453	1404	1689
454	1410	1689
455	1412	1685
456	1414	1680
457	1417	1677
458	1419	1672
459	1422	1669
460	1424	1665
461	1426	1661
462	1428	1657
463	1431	1653
464	1432	1648
465	1434	1644
466	1437	1641
467	1439	1636
468	1441	1632
469	1444	1628
470	1446	1624
471	1448	1619
472	1449	1615
473	1453	1613
474	1455	1608
475	1457	1604
476	1459	1600
477	1461	1596
478	1463	1591
479	1467	1589
480	1469	1585
481	1473	1584
482	1476	1580
483	1479	1577
484	1485	1577
485	1487	1572
486	1489	1569
487	1492	1565
488	1495	1563
489	1499	1561
490	1502	1557
491	1505	1554
492	1509	1551
493	1514	1551
494	1516	1547
495	1519	1543
496	1521	1539
497	1523	1536
498	1529	1536
499	1533	1533
500	1536	1530
